Dataset1,
X,Y
501.90923010136805,21.541736612882346
572.0247148205679,21.361924568613247
645.480988561933,22.36494268819639
737.2231831988454,22.67676179273001
842.0046933631587,23.033621434585154
978.2798339541416,22.061063421972655
1027.7507559553505,23.7871842705414
1111.712362950713,22.391967010589305
1093.9478364455729,21.77364127515486
1269.7200096349502,24.690127113413116
1279.4454493740698,22.339760104374115
1236.6883101371586,21.795006658243274
1392.9449015247606,25.12361785486105
1465.2806214636455,22.64384755391813
1450.185278670734,22.132810688154695
1540.4862392593377,25.553004310659567
1670.211487559307,22.926969972912726
1639.2368432764133,22.343041108235102
1717.4322712510584,26.41685871877493
1882.590238483699,23.1196732417869
1875.9536467389398,22.56615928983988
1945.306003518958,27.405368588355465
2113.636599889654,27.94347308472077
2175.5460808625085,23.346939140635268
2138.6042292678258,22.764557526500084
2240.3231985940834,28.337664402702025
2495.644269921379,23.608061518270418
2458.362712523301,23.060842190640145
2482.613078236678,29.297432057600783
2779.3744303923513,30.274887229226792
2850.35011937748,23.877925279797214
2821.2292185798215,23.311429159013166
2946.046813799896,30.960986980287647
3246.00443189665,24.226929161550352
3212.1124820553196,23.620001967547203
3277.8340468328793,32.214528652652106
3559.9225355751264,33.25178912945533
3684.326489552981,24.34400046072043
3658.0193357133016,23.833235332738727
3667.607209598806,33.80154353403168
3789.215948653054,34.229659615700626
4049.5533118413214,35.241724338933814
4214.900871803049,24.65656253759521
4177.933520374686,24.138125123838268
4313.277720716783,36.238514325608946
4505.618735534436,37.38653932771044
4576.941537721955,36.879977643539846
4809.6392348686395,24.831537669568124
4771.743093388189,24.31788306317404
4795.82412275128,38.246582613437056
5229.567693906065,39.349267357913725
5369.810065215688,40.0457046039521
5507.314349003863,25.168044652992698
5428.047339227924,24.630395099051064
5679.621243436613,41.244847041267704
5948.136443886759,42.40900081295555
6180.839104033388,43.1778249834364
6269.316888677304,25.429489783943122
6225.805634471715,24.879706021981416
6408.967025176168,44.372689630315655
6778.732361591123,45.440560074241176
6974.548531989885,46.16255603788661
7165.707671393796,25.528504238160494
7109.247579802316,25.036914820517115
7275.789611349087,47.37564990537529
7594.869484051398,48.70390127737349
7544.330942189777,48.2498261032935
7849.080668657452,49.42756878592627
8205.148609345113,25.774684596271527
8092.690206587814,25.250068941297844
8564.7132335269,49.988650693158064
9347.385279346698,26.000357486290735
9273.735299021711,25.475193895222702
10726.801116936418,26.215270402949244
10535.595894905413,25.67505096810864
12193.298354794915,26.448618072014465
12097.224837218659,25.888065487336664
13926.331504886224,26.866026714591214
13934.345665561832,26.218135908504692
14340.98951806117,26.04633293098035
15905.680607554445,27.218101830503777
15859.993446799595,26.6126118232877
16009.72601015072,26.338518980784073
18114.173866548448,27.598306659285644
18334.344953251362,27.022128472813996
17863.413672864244,26.652855143616392
20659.356121248242,28.022013795446036
20746.50168437789,27.41801125397197
20475.605168726142,26.96674923486517
23611.3957046422,28.31854924197098
23610.20716090843,27.72761259747518
23432.41999654188,27.254426154516647
26949.321706138602,28.69232296852517
26987.65298142626,28.05564134593495
26762.869187502616,27.58951176146546
30798.591427226656,29.14054085259748
30800.14183602232,28.429051941648787
30566.675027721423,27.932512776452445
35143.630303539365,29.562395804627766
35204.337348251465,28.85297458770616
35062.850388461826,28.346768750630698
33140.71263131744,28.112808181766116
40138.59348400134,29.91900797100312
40100.12552962042,29.168327766098482
40006.03477774782,28.65112921917624
45752.28727483399,30.31666299387264
45864.31685509087,29.530318061882063
45922.680604439694,28.99456331625285
43230.762906182106,28.68447654007775
51197.53207944267,30.840262941791668
52255.058570396446,30.128794204324933
52228.35604301461,29.50945749982792
58474.235864981245,31.18942334649783
59859.1242171802,30.350073135472865
59480.12817884171,29.75607448232466
66785.17735362465,31.556676958504095
67769.07427933387,30.68391886021019
68418.54214605941,30.166050368702074
76918.01320514987,31.877024448802732
76565.8763552673,31.075360351141523
77806.42546298524,30.499387466203313
87850.3682451843,32.26693158549734
87118.65070437673,31.476970605919295
88753.0409656405,30.885253137947217
100629.13602890412,32.592147362670175
